Open,High,Low,Close,Volume
1.21209,1.21314,1.2116,1.21302,5475
1.21302,1.21381,1.21196,1.21367,4603
1.21367,1.21477,1.21362,1.21446,2713
1.21443,1.21466,1.21402,1.21429,1709
1.21429,1.21444,1.21369,1.21387,1293
1.21387,1.21415,1.2136,1.21413,1307
1.21413,1.21435,1.21385,1.21413,853
1.21371,1.21438,1.21352,1.21419,1009
1.21419,1.21443,1.21412,1.21426,505
1.21425,1.21426,1.21331,1.21341,702
1.21342,1.21454,1.2133,1.21454,1130
1.21451,1.2146,1.21423,1.21423,1210
1.21423,1.21443,1.21375,1.21395,841
1.21395,1.21399,1.21273,1.21302,1165
1.21303,1.21318,1.2127,1.2131,900
1.2131,1.21311,1.21234,1.2127,1402
1.2127,1.21311,1.21078,1.21112,3788
1.21112,1.21414,1.21112,1.21382,4374
1.21384,1.21386,1.21208,1.21289,3364
1.21289,1.2135,1.21232,1.2127,3000
1.21268,1.21426,1.21251,1.21376,2735
1.21377,1.21489,1.21362,1.21443,3084
1.21443,1.21619,1.21407,1.21568,3308
1.21568,1.21643,1.21539,1.21595,3873
1.21596,1.2176,1.21576,1.21679,4561
1.21679,1.21692,1.21399,1.21461,3563
1.21461,1.21581,1.21458,1.21573,2654
1.21573,1.21651,1.21563,1.21636,1497
1.21636,1.21681,1.21594,1.21647,1176
1.21648,1.21676,1.21639,1.21673,971
1.21673,1.21683,1.21586,1.21592,1101
1.21598,1.21637,1.21591,1.21605,365
1.21604,1.21635,1.21598,1.21631,860
1.21631,1.21696,1.21604,1.21623,1611
1.2162,1.21672,1.21583,1.21608,1528
1.21608,1.21611,1.21553,1.21592,1038
1.21592,1.21594,1.21548,1.21567,934
1.21567,1.21579,1.2153,1.21573,898
1.21572,1.21651,1.2156,1.21629,1111
1.2163,1.21659,1.21585,1.21628,1247
1.21629,1.2163,1.21516,1.21551,2172
1.21551,1.21583,1.21437,1.2148,4038
1.2148,1.21487,1.21194,1.21226,4764
1.21225,1.21329,1.21189,1.21313,2530
1.21311,1.21312,1.21134,1.21167,3272
1.21165,1.21198,1.21056,1.2108,4095
1.21079,1.21169,1.20983,1.21111,4160
1.21111,1.21125,1.20586,1.2068,7699
1.20681,1.20981,1.20676,1.2091,7725
1.20911,1.21095,1.20893,1.21002,4300
1.21003,1.21192,1.2097,1.21177,3704
1.21178,1.21202,1.21105,1.21199,2413
1.212,1.21288,1.20978,1.21,6251
1.21,1.21079,1.20933,1.21049,5805
1.21049,1.21142,1.21019,1.21096,2294
1.21086,1.21117,1.21051,1.21082,470
1.21083,1.21108,1.20944,1.21026,1638
1.21026,1.21047,1.20825,1.2088,3420
1.2088,1.21059,1.2086,1.21012,2848
1.21011,1.21049,1.20906,1.20943,1810
1.20943,1.20943,1.20875,1.2091,2081
1.2091,1.20937,1.20869,1.20934,1648
1.20934,1.21053,1.20915,1.21052,1785
1.21051,1.21051,1.20931,1.21033,1777
1.21031,1.21031,1.20805,1.20936,4207
1.2094,1.21133,1.20889,1.20909,6019
1.20909,1.2111,1.20906,1.21087,4973
1.21086,1.21174,1.21033,1.21087,4022
1.21087,1.21115,1.20959,1.21021,3593
1.21021,1.21118,1.2098,1.20991,3492
1.20991,1.21306,1.2088,1.21285,5687
1.21284,1.21421,1.2122,1.21295,7375
1.21295,1.21417,1.21217,1.2122,5683
1.21218,1.21293,1.21188,1.21216,3971
1.21217,1.21306,1.21212,1.21251,2713
1.21252,1.21374,1.21241,1.21346,2186
1.21346,1.21399,1.21314,1.21315,1808
1.21315,1.21375,1.21249,1.21261,2080
1.21261,1.21269,1.21185,1.2121,1275
1.21209,1.21269,1.21176,1.21212,843
1.21212,1.21243,1.21183,1.21209,758
1.21209,1.21219,1.21038,1.21075,2110
1.21075,1.2116,1.21064,1.21083,1711
1.21078,1.2109,1.2102,1.21043,1788
1.21043,1.21064,1.20973,1.20973,1377
1.20973,1.21021,1.20952,1.20997,1461
1.20998,1.21017,1.20944,1.20996,1412
1.20995,1.21067,1.2098,1.21055,1508
1.21055,1.21088,1.20996,1.21044,3218
1.21045,1.21194,1.20974,1.21171,4834
1.21171,1.21213,1.21059,1.21164,4996
1.21163,1.21344,1.21069,1.21343,4605
1.21343,1.21387,1.21269,1.21269,3437
1.21269,1.21486,1.21267,1.21337,4168
1.21337,1.21522,1.21263,1.21461,7662
1.21461,1.21558,1.21396,1.21468,5461
1.21467,1.2155,1.2125,1.21491,6906
1.2149,1.21533,1.21298,1.21351,5293
1.21351,1.21436,1.21294,1.21323,3605
1.21322,1.21365,1.21275,1.21298,2942
1.21296,1.21349,1.21286,1.21304,2430
1.21305,1.21391,1.21304,1.21347,2171
1.21346,1.21388,1.21301,1.21353,943
1.21301,1.21318,1.21266,1.21272,542
1.21272,1.21313,1.21206,1.21227,2543
1.21227,1.21298,1.21201,1.21297,1730
1.21297,1.21364,1.21257,1.21272,2293
1.21271,1.21296,1.21248,1.21271,1310
1.21273,1.21318,1.21257,1.21297,1694
1.21297,1.21331,1.21274,1.21278,1336
1.21278,1.21324,1.21259,1.21301,1349
1.21301,1.21327,1.2128,1.21292,1087
1.21292,1.21307,1.21218,1.21285,2868
1.21285,1.21308,1.20883,1.2089,5435
1.2089,1.21042,1.20837,1.2094,4392
1.20938,1.20942,1.20696,1.20797,3913
1.20798,1.20844,1.20727,1.20817,2612
1.20818,1.20886,1.20722,1.20756,3242
1.20756,1.20929,1.2073,1.20848,3888
1.20849,1.20992,1.20836,1.20869,5175
1.20867,1.20984,1.20799,1.20846,5155
1.20846,1.20872,1.20684,1.20686,3435
1.20687,1.20702,1.20626,1.20697,2463
1.20696,1.20781,1.20616,1.20677,2341
1.20678,1.20769,1.20654,1.20665,1713
1.20662,1.2071,1.20562,1.20567,2196
1.20565,1.20619,1.20562,1.20594,1031
1.20594,1.20636,1.20587,1.20615,591
1.20615,1.20685,1.20607,1.20676,907
1.20676,1.20685,1.20621,1.20678,1969
1.20678,1.2086,1.20671,1.20837,1975
1.20838,1.20876,1.20816,1.20833,1513
1.20835,1.20845,1.20797,1.20814,1862
1.20819,1.20825,1.20749,1.20755,969
1.20756,1.20793,1.20745,1.2079,990
1.20792,1.20795,1.2066,1.20707,1088
1.20707,1.2076,1.20639,1.20687,2836
1.20687,1.20872,1.20673,1.20866,4639
1.20866,1.20866,1.20641,1.20669,3027
1.2067,1.20696,1.20322,1.20352,4685
1.20352,1.20407,1.20265,1.20278,2880
1.20278,1.204,1.20262,1.20386,2773
1.20387,1.20499,1.20347,1.2048,3645
1.2048,1.20491,1.20205,1.20231,5079
1.20232,1.20338,1.20208,1.20274,4907
1.20274,1.20328,1.20187,1.20192,3294
1.20192,1.20255,1.20117,1.20188,2712
1.20191,1.20247,1.20175,1.20177,1926
1.20177,1.20255,1.20172,1.20198,1402
1.20196,1.20402,1.20172,1.2037,1784
1.20368,1.20459,1.20342,1.20428,1536
1.20423,1.20445,1.20416,1.2043,566
1.2043,1.20441,1.20361,1.20366,1282
1.20366,1.20457,1.20358,1.20441,1427
1.20441,1.205,1.20419,1.20469,2244
1.20471,1.20479,1.20444,1.20463,1897
1.20463,1.20479,1.20416,1.20417,1482
1.20417,1.20436,1.20391,1.20431,725
1.2043,1.20457,1.20416,1.20439,838
1.20439,1.20441,1.2035,1.20375,1178
1.20371,1.20404,1.20275,1.20374,2788
1.20373,1.20421,1.20309,1.20314,3172
1.20313,1.20317,1.20098,1.20229,3648
1.20237,1.20303,1.20122,1.20211,2618
1.20211,1.20243,1.2016,1.2016,1261
1.2016,1.20226,1.20049,1.20106,2765
1.20107,1.20233,1.20084,1.20171,3456
1.20171,1.20325,1.20155,1.20265,4058
1.20243,1.20298,1.20042,1.20109,4374
1.20108,1.20266,1.20107,1.20236,2731
1.20236,1.20308,1.20227,1.20266,1869
1.20269,1.20279,1.20211,1.20271,1448
1.20271,1.20287,1.20254,1.20254,1069
1.20255,1.20361,1.2024,1.2033,1674
1.2033,1.20369,1.20319,1.20351,807
1.20349,1.2036,1.20293,1.20328,724
1.20328,1.20417,1.20327,1.20412,953
1.20412,1.20428,1.2035,1.20359,1285
1.20359,1.20388,1.20334,1.20348,1692
1.20348,1.20384,1.20312,1.20322,1019
1.20322,1.20332,1.20165,1.20184,1442
1.20183,1.20208,1.20157,1.20195,989
1.20195,1.20195,1.20126,1.2017,1529
1.2017,1.2017,1.20072,1.20112,1454
1.2011,1.20132,1.19997,1.20082,3334
1.20082,1.20136,1.19912,1.19932,4174
1.19932,1.19962,1.19832,1.19858,3335
1.19857,1.1997,1.19836,1.19875,2430
1.19875,1.19961,1.19835,1.19874,2105
1.19874,1.19944,1.19828,1.1993,4067
1.19931,1.1998,1.19836,1.1984,3210
1.19843,1.19894,1.19759,1.1981,3322
1.19809,1.19843,1.19667,1.19785,3999
1.19786,1.19793,1.19721,1.19744,2420
1.19744,1.19744,1.19576,1.19605,2269
1.19606,1.19669,1.19588,1.19629,1659
1.19629,1.19679,1.19574,1.19658,1580
1.19659,1.19676,1.19635,1.19657,1296
1.1966,1.19677,1.19602,1.1962,1520
1.19618,1.19659,1.19579,1.1964,1203
1.19639,1.19688,1.19624,1.19662,1347
1.19659,1.19717,1.19633,1.19689,2341
1.19685,1.19693,1.19621,1.19658,2589
1.19657,1.1968,1.19538,1.1954,2450
1.1954,1.19574,1.19522,1.19548,1711
1.19548,1.19573,1.19537,1.19561,1525
1.19562,1.19631,1.19553,1.19629,1582
1.19631,1.19664,1.19595,1.19654,1567
1.19651,1.19666,1.19596,1.19633,2120
1.19633,1.19873,1.19633,1.19842,5398
1.19842,1.19877,1.19763,1.19768,3302
1.19769,1.1983,1.19739,1.19739,2802
1.19739,1.19817,1.19692,1.19799,2543
1.19799,1.19929,1.19772,1.19894,3601
1.19894,1.20239,1.19811,1.20039,7724
